Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp	Reference length	Reference GC (%)	NG50	NG90	auNG	LG50	LG90	Reference mapped (%)	Reference properly paired (%)	Reference avg. coverage depth	Reference coverage >= 1x (%)	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# structural variations	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	busco_complete	busco_single_copy	busco_multi_copy	busco_fragmented	busco_missing_busco	busco_avg_identity	busco_stop_codon
spades_short_BS00_120_204-2_IL60x	3821	1074	830	671	433	266	43388380	42851447	42210747	41028766	37083032	31045719	3821	751616	43388380	52.92	92617	17937	132878.9	129	527	18014930	9007465	9007465	99.42	96.12	51	99.91	7.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.3	99.2	0.1	0.1	0.5	NA	28.6
abyss_short_BS00_240_163-1_IL10x	105417	1216	4	0	0	0	35140521	1501952	27802	0	0	0	105417	8375	35140521	50.94	369	191	447.5	31271	85216	3634984	1817492	1817492	88.43	58.12	10	99.93	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2	6.2	0	43.8	50	NA	6.4
abyss_short_BS00_240_163-1_IL15x	84132	10411	3	0	0	0	45469665	14938892	17290	0	0	0	84132	5943	45469665	51.37	724	251	875.6	19610	60780	5453404	2726702	2726702	98.25	75.03	14	99.88	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	19.8	0	45.9	34.3	NA	9.3
abyss_short_BS00_240_163-1_IL20x	54065	17115	188	2	0	0	48269147	32179088	1115427	21326	0	0	54065	10932	48269147	51.53	1441	415	1724.7	10411	33905	7268136	3634068	3634068	99.43	83.92	18	99.82	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.6	42.6	0	37.9	19.5	NA	9.6
abyss_short_BS00_240_163-1_IL25x	43790	16962	548	11	0	0	48032631	36332680	3373823	124465	0	0	43790	13080	48032631	51.53	1850	526	2240.1	7970	26241	9084234	4542117	4542117	99.52	85.99	23	99.89	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.9	47.9	0	34.7	17.4	0.86	11.3
abyss_short_BS00_240_163-1_IL35x	23754	11953	2798	469	4	0	48620609	44632805	21805760	6102642	108562	0	23754	28872	48620609	51.55	4499	1177	5424.3	3327	11150	12710184	6355092	6355092	99.33	90.6	32	99.87	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.9	78.8	0.1	15	6.1	NA	14
abyss_short_BS00_240_163-1_IL40x	18964	9080	3354	1049	46	0	48813675	46137221	31118309	15065923	1347119	0	18964	46414	48813675	51.53	6715	1737	8249.0	2198	7444	14526152	7263076	7263076	99.26	91.58	37	99.85	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.5	85.5	0	10.3	4.2	NA	15.6
abyss_short_BS00_240_163-1_IL50x	14092	5368	3093	1662	286	19	48948982	47164424	40869019	30564387	9694931	1229407	14092	105893	48948982	51.50	13055	3301	16298.8	1128	3873	18155808	9077904	9077904	99.18	92.52	46	99.84	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.5	93.5	0	5.1	1.3	NA	16.5
abyss_short_BS00_240_163-1_IL60x	12816	3967	2618	1666	480	69	49022074	47407462	43625614	36732925	18182590	4473844	12816	119292	49022074	51.46	18468	4621	23549.6	775	2721	21789572	10894786	10894786	99.16	92.71	55	99.84	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.2	96.2	0	3	0.8	NA	17.1
abyss_short_BS00_240_163-1_ILOG	16820	1302	1006	835	591	323	50068359	47718425	46986373	45747088	41706890	32103969	16820	373862	50068359	51.13	72537	12671	87406.9	205	775	93412042	46706021	46706021	99.13	92.71	233	99.79	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.6	99.6	0	0.1	0.3	NA	21.3
flye_BS00_240_163-1_NP30x	5033	5032	1051	138	1	1	20063294	20062317	7945685	1864755	112447	112447	5033	112447	20063294	51.49	4273	2395	5853.7	1504	4156	1041948	0	0	61.07	0.0	16	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34.2	0	11.9	54	NA	15.4
flye_BS00_240_163-1_NP35x	6243	6237	1325	182	4	1	25043079	25038919	10080923	2478713	203080	112447	6243	112447	25043079	51.49	4293	2401	5863.8	1854	5141	1215872	0	0	71.89	0.0	17	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.2	41.2	0	12.1	46.7	NA	19.2
flye_BS00_240_163-1_NP40x	7221	7217	1589	242	4	1	29307979	29305264	12247382	3323679	201674	112447	7221	112447	29307979	51.55	4377	2400	5972.7	2105	5930	1389517	0	0	80.52	0.0	19	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.5	48.5	0	12.5	38.9	NA	19.3
flye_BS00_240_163-1_NP50x	8510	8503	2099	339	15	1	35988514	35983664	16578777	4799387	507923	112447	8510	112447	35988514	51.61	4667	2410	6354.5	2393	6922	1736413	0	0	93.6	0.0	22	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.4	59.2	0.1	13.1	27.6	NA	18.4
flye_BS00_240_163-1_NP60x	9143	9136	2382	504	19	1	40292005	40288277	19835546	7124035	653173	112447	9143	112447	40292005	51.60	4924	2419	6852.3	2445	7360	2084183	0	0	101.08	0.0	26	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.2	67.2	0	13.5	19.4	NA	17.5
polypolish_BS00_240_163-1_NP30x_IL10x	5033	5032	1051	138	1	1	20063206	20062229	7945664	1864766	112463	112463	5033	112463	20063206	51.49	4273	2395	5853.8	1504	4156	4641598	1800150	1799500	48.92	33.76	26	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34.2	0	11.9	54	NA	15.4
polypolish_BS00_240_163-1_NP30x_IL15x	5033	5032	1051	138	1	1	20063226	20062249	7945675	1864752	112462	112462	5033	112462	20063226	51.49	4273	2395	5853.8	1504	4156	6422156	2690739	2689469	47.76	36.37	30	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.4
polypolish_BS00_240_163-1_NP30x_IL20x	5033	5032	1051	138	1	1	20063220	20062243	7945701	1864741	112463	112463	5033	112463	20063220	51.49	4273	2395	5853.8	1504	4156	8189217	3574520	3572749	47.04	37.79	35	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.4
polypolish_BS00_240_163-1_NP30x_IL25x	5033	5032	1051	138	1	1	20063201	20062224	7945694	1864745	112463	112463	5033	112463	20063201	51.49	4273	2396	5853.8	1504	4156	9948667	4454739	4451980	46.53	38.67	40	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.4
polypolish_BS00_240_163-1_NP30x_IL30x	5033	5032	1051	138	1	1	20063242	20062265	7945707	1864761	112463	112463	5033	112463	20063242	51.49	4273	2396	5853.8	1504	4156	11694991	5328383	5324660	46.13	39.26	45	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.1
polypolish_BS00_240_163-1_NP30x_IL35x	5033	5032	1051	138	1	1	20063295	20062318	7945746	1864771	112463	112463	5033	112463	20063295	51.49	4273	2396	5853.8	1504	4156	13439503	6201053	6196502	45.82	39.68	49	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.1
polypolish_BS00_240_163-1_NP30x_IL40x	5033	5032	1051	138	1	1	20063359	20062382	7945787	1864784	112462	112462	5033	112462	20063359	51.49	4273	2396	5853.9	1504	4156	15178046	7070861	7065237	45.54	39.98	54	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.1
polypolish_BS00_240_163-1_NP30x_IL50x	5033	5032	1051	138	1	1	20063361	20062384	7945810	1864776	112462	112462	5033	112462	20063361	51.49	4273	2396	5853.9	1504	4156	18632881	8799577	8791356	45.09	40.37	63	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.1
polypolish_BS00_240_163-1_NP30x_IL60x	5033	5032	1051	138	1	1	20063365	20062388	7945828	1864783	112463	112463	5033	112463	20063365	51.49	4273	2396	5853.9	1504	4156	22070074	10519501	10508625	44.73	40.59	72	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.2	34	0.1	11.9	54	NA	15.1
polypolish_BS00_240_163-1_NP35x_IL10x	6243	6237	1325	182	4	1	25043090	25038930	10080921	2478730	203096	112463	6243	112463	25043090	51.49	4293	2401	5863.9	1854	5141	4814065	1799464	1798729	58.54	38.82	27	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.2	41.2	0	12.1	46.7	NA	19.2
polypolish_BS00_240_163-1_NP35x_IL15x	6243	6237	1325	182	4	1	25043080	25038920	10080938	2478734	203099	112462	6243	112462	25043080	51.49	4293	2401	5863.9	1854	5141	6592611	2689100	2687639	57.17	42.29	31	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.2	41	0.1	12.1	46.7	NA	19.2
polypolish_BS00_240_163-1_NP35x_IL20x	6243	6237	1325	182	4	1	25043098	25038938	10080977	2478734	203097	112463	6243	112463	25043098	51.49	4293	2401	5863.9	1854	5141	8356824	3571598	3569354	56.32	44.25	36	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.2	41	0.1	12.1	46.7	NA	19.2
polypolish_BS00_240_163-1_NP35x_IL25x	6243	6237	1325	182	4	1	25043101	25038941	10080991	2478756	203096	112463	6243	112463	25043101	51.49	4293	2401	5863.9	1854	5141	10112835	4450180	4446783	55.72	45.47	40	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.2	41	0.1	12.1	46.7	NA	19.2
polypolish_BS00_240_163-1_NP35x_IL30x	6243	6237	1325	182	4	1	25043144	25038984	10081067	2478788	203098	112463	6243	112463	25043144	51.49	4293	2401	5864.0	1854	5141	11855082	5321821	5317389	55.25	46.3	45	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.2	41	0.1	12.3	46.6	NA	18.9
polypolish_BS00_240_163-1_NP35x_IL35x	6243	6237	1325	182	4	1	25043195	25039035	10081106	2478793	203096	112463	6243	112463	25043195	51.49	4293	2401	5864.0	1854	5141	13594374	6192117	6186385	54.9	46.92	49	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.2	41	0.1	12.3	46.6	NA	18.9
